1241.0000000000,1252.5000000000,118.9687500000,119.0312500000
1253.2500000000,1265.0000000000,118.6250000000,118.6875000000
1280.2500000000,1292.2500000000,118.8437500000,118.9062500000
1277.7500000000,1290.0000000000,118.5000000000,118.5312500000
1288.0000000000,1296.0000000000,117.8125000000,117.8125000000
1273.7500000000,1280.0000000000,117.5625000000,117.5312500000
1251.0000000000,1263.0000000000,117.9687500000,117.9375000000
1239.0000000000,1250.7500000000,118.4375000000,118.3750000000
1219.0000000000,1230.5000000000,119.0312500000,118.9687500000
1248.5000000000,1260.5000000000,118.5000000000,118.5312500000
1257.0000000000,1268.7500000000,118.4062500000,118.4375000000
1268.2500000000,1280.0000000000,118.1250000000,118.1562500000
1233.0000000000,1244.5000000000,118.5625000000,118.5937500000
1232.5000000000,1242.5000000000,119.0937500000,119.1562500000
1243.5000000000,1255.2500000000,119.0937500000,119.1875000000
1265.5000000000,1277.2500000000,118.9062500000,119.0000000000
1249.0000000000,1260.5000000000,119.0312500000,119.1250000000
1265.7500000000,1277.5000000000,119.0937500000,119.1875000000
1281.5000000000,1293.5000000000,119.1875000000,119.3125000000
1274.2500000000,1286.2500000000,118.5312500000,118.6562500000
1265.2500000000,1277.2500000000,118.1250000000,118.2500000000
1278.5000000000,1290.5000000000,117.8125000000,117.9375000000
1259.2500000000,1271.0000000000,117.1875000000,117.2812500000
1243.5000000000,1255.2500000000,116.9375000000,117.0312500000
1247.2500000000,1259.0000000000,117.0937500000,117.1875000000
1219.0000000000,1230.5000000000,117.3437500000,117.4375000000
1226.0000000000,1239.7500000000,117.2500000000,117.3437500000
1262.5000000000,1274.2500000000,117.1875000000,117.3125000000
1238.2500000000,1244.5000000000,116.1875000000,116.2812500000
1242.2500000000,1254.0000000000,116.2187500000,116.3437500000
1229.2500000000,1241.0000000000,116.5312500000,116.6562500000
1238.5000000000,1250.0000000000,116.1562500000,116.2812500000
1243.5000000000,1257.2500000000,115.9687500000,116.1250000000
1274.5000000000,1286.5000000000,116.2500000000,116.4375000000
1275.5000000000,1287.5000000000,115.8437500000,116.0000000000
1253.2500000000,1265.2500000000,115.2500000000,115.3750000000
1241.5000000000,1253.5000000000,114.4375000000,114.5000000000
1235.5000000000,1247.5000000000,114.7187500000,114.7500000000
1239.0000000000,1251.0000000000,114.0625000000,114.0312500000
1229.5000000000,1241.5000000000,114.3125000000,114.2812500000
1234.0000000000,1246.0000000000,114.0937500000,114.0312500000
1249.7500000000,1261.7500000000,113.8750000000,113.7812500000
1279.5000000000,1290.7500000000,114.4375000000,114.3437500000
1283.2500000000,1295.7500000000,114.5625000000,114.4375000000
1279.7500000000,1292.2500000000,115.1562500000,115.0000000000
1289.0000000000,1301.5000000000,115.0000000000,114.8750000000
1304.5000000000,1317.0000000000,115.0312500000,114.8750000000
1291.2500000000,1303.7500000000,115.3125000000,115.1562500000
1306.5000000000,1319.2500000000,115.4687500000,115.3125000000
1306.0000000000,1319.0000000000,115.7812500000,115.5937500000
1299.0000000000,1311.7500000000,115.5937500000,115.4062500000
1318.5000000000,1331.2500000000,115.7500000000,115.5625000000
1309.5000000000,1322.0000000000,115.3750000000,115.1562500000
1311.2500000000,1323.7500000000,115.3750000000,114.9687500000
1272.2500000000,1284.5000000000,114.9687500000,114.4687500000
1279.5000000000,1292.0000000000,115.2187500000,114.7187500000
1304.0000000000,1316.5000000000,114.8750000000,114.3750000000
1297.0000000000,1309.5000000000,114.8750000000,114.3750000000
1315.7500000000,1329.0000000000,114.5312500000,114.0312500000
1315.7500000000,1328.5000000000,114.9687500000,114.4687500000
1293.2500000000,1305.7500000000,114.6875000000,114.1562500000
1302.7500000000,1315.2500000000,114.5312500000,114.0000000000
1302.7500000000,1315.2500000000,115.1875000000,114.6562500000
1333.5000000000,1346.0000000000,115.2500000000,114.7187500000
1330.5000000000,1343.2500000000,115.7187500000,115.1875000000
1338.5000000000,1351.2500000000,115.6250000000,115.0937500000
1355.5000000000,1368.5000000000,116.4062500000,115.8750000000
1358.2500000000,1371.0000000000,116.3750000000,115.8437500000
1372.0000000000,1385.0000000000,116.3750000000,115.8437500000
1362.2500000000,1375.5000000000,116.0000000000,115.4375000000
1339.2500000000,1352.2500000000,115.9062500000,115.3750000000
1332.0000000000,1345.0000000000,115.7500000000,115.2187500000
1323.7500000000,1342.5000000000,115.3750000000,114.8437500000
1301.0000000000,1311.0000000000,115.6562500000,115.1250000000
1315.0000000000,1327.7500000000,115.8750000000,115.3437500000
1351.7500000000,1364.7500000000,115.8437500000,115.3125000000
1369.0000000000,1382.2500000000,115.2187500000,114.6875000000
1365.0000000000,1380.0000000000,115.2500000000,114.7187500000
1371.5000000000,1384.7500000000,115.4062500000,114.8750000000
1376.5000000000,1389.7500000000,115.5625000000,115.0312500000
1359.0000000000,1372.2500000000,115.3750000000,114.8437500000
1347.5000000000,1360.5000000000,115.7812500000,115.2500000000
1337.7500000000,1349.0000000000,114.6875000000,114.1562500000
1359.2500000000,1372.5000000000,114.6562500000,114.1250000000
1343.0000000000,1356.0000000000,114.3125000000,113.7812500000
1352.0000000000,1365.2500000000,114.4687500000,113.9375000000
1342.2500000000,1355.5000000000,113.7187500000,113.2187500000
1352.2500000000,1361.0000000000,113.5000000000,113.0000000000
1347.0000000000,1360.2500000000,113.6875000000,113.1875000000
1358.2500000000,1371.5000000000,113.3437500000,112.8750000000
1369.0000000000,1382.5000000000,113.5000000000,113.0312500000
1375.0000000000,1388.5000000000,114.2187500000,113.7500000000
1340.2500000000,1364.5000000000,112.7812500000,112.2812500000
